+---------------------------------------------+
PARAMETROS UTILIZADOS: 
Substituição: imediata 
Taxa de Crossover: 0.7
Taxa de Mutação: 0.7
Quantidade de Gerações: 50
Tamanho da População: 50
Taxa de elitismo: 10
Quantidade de veiculos: 7
Quantidade de paradas: 32
Corrigindo infactibilidades: true
+---------------------------------------------+
Geração, Fitness Médio, Fitness Máximo, Fitness Minimo
0.0,2985.0186,3494.1636,2322.1282
1.0,2987.692,3536.7825,2322.1282
2.0,2962.6772,3528.7478,2322.1282
3.0,2957.136,3626.86,2322.1282
4.0,2924.1748,3593.4944,2322.1282
5.0,2949.137,3631.6738,2322.1282
6.0,2922.2688,3981.4417,2322.1282
7.0,2936.9353,3814.314,2322.1282
8.0,2937.6577,3799.0017,2322.1282
9.0,2945.0125,3880.2454,2136.9775
10.0,2940.3757,3947.1191,2136.9775
11.0,2920.73,3812.6724,2136.9775
12.0,2939.527,3681.7148,2136.9775
13.0,2922.3154,3857.5159,2136.9775
14.0,2956.748,3952.7659,2136.9775
15.0,2923.808,4101.8926,2136.9775
16.0,2918.4092,3825.3435,1996.1744
17.0,2927.2793,3905.1755,1996.1744
18.0,2924.1006,3867.3828,1996.1744
19.0,2948.8105,3715.9038,1996.1744
20.0,2937.919,4047.1157,1996.1744
21.0,2906.1743,4119.1724,1996.1744
22.0,2905.2466,4091.604,1996.1744
23.0,2906.751,3720.19,1996.1744
24.0,2865.305,3728.6292,1996.1744
25.0,2841.669,3601.3123,1996.1744
26.0,2892.3738,3882.678,1996.1744
27.0,2875.8792,3696.1218,1996.1744
28.0,2877.6138,3825.103,1996.1744
29.0,2871.915,3823.0007,1996.1744
30.0,2876.061,3669.2627,1996.1744
31.0,2866.5757,3563.437,1996.1744
32.0,2845.9287,3518.1812,1996.1744
33.0,2876.576,3748.0796,1996.1744
34.0,2905.3215,3759.2227,1996.1744
35.0,2865.1682,3775.0122,1996.1744
36.0,2875.0693,3765.4558,1996.1744
37.0,2854.2131,3804.0554,1996.1744
38.0,2887.2285,3760.8674,1996.1744
39.0,2871.0264,3568.5024,1996.1744
40.0,2839.4763,3893.9985,1996.1744
41.0,2853.779,3781.4717,1996.1744
42.0,2887.9673,3608.2407,1996.1744
43.0,2907.2053,3656.409,1996.1744
44.0,2916.243,3564.056,1996.1744
45.0,2901.755,3960.0488,1996.1744
46.0,2906.3076,4067.8628,1996.1744
47.0,2903.461,3753.3481,1996.1744
48.0,2895.548,3898.7441,1996.1744
49.0,2878.739,3824.5063,1996.1744
