+---------------------------------------------+
PARAMETROS UTILIZADOS: 
Substituição: imediata 
Taxa de Crossover: 0.7
Taxa de Mutação: 0.7
Quantidade de Gerações: 50
Tamanho da População: 50
Taxa de elitismo: 10
Quantidade de veiculos: 7
Quantidade de paradas: 32
Corrigindo infactibilidades: false
+---------------------------------------------+
Geração, Fitness Médio, Fitness Máximo, Fitness Minimo
0.0,2962.535,3533.2358,2395.786
1.0,2954.049,3595.6436,2395.786
2.0,2955.299,3582.0571,2395.786
3.0,2944.2627,3531.0269,2395.786
4.0,2962.86,3662.889,2144.0498
5.0,2941.819,3662.889,2144.0498
6.0,2936.7202,3764.9897,2144.0498
7.0,2932.224,3670.4111,2144.0498
8.0,2932.9468,3545.3337,2144.0498
9.0,2924.3425,3544.038,2144.0498
10.0,2916.811,3610.656,2144.0498
11.0,2899.43,3593.5789,2144.0498
12.0,2885.4873,3618.7917,2144.0498
13.0,2873.7314,3393.0217,2144.0498
14.0,2874.5935,3478.2493,2144.0498
15.0,2873.2146,3478.2493,2144.0498
16.0,2866.7712,3535.2007,2144.0498
17.0,2860.3408,3535.2007,2144.0498
18.0,2866.376,3577.0784,2144.0498
19.0,2859.8125,3548.2998,2144.0498
20.0,2856.7444,3565.9648,2144.0498
21.0,2862.4956,3564.4485,2144.0498
22.0,2864.1768,3575.1099,2144.0498
23.0,2857.182,3663.3855,2144.0498
24.0,2855.6392,3584.98,2144.0498
25.0,2839.153,3449.6519,2144.0498
26.0,2832.4282,3444.9333,2144.0498
27.0,2834.7085,3777.741,2088.3062
28.0,2837.8928,3777.741,2088.3062
29.0,2849.529,3648.187,2088.3062
30.0,2844.5344,3985.9788,2088.3062
31.0,2827.6672,3741.2498,2088.3062
32.0,2830.1426,3784.0764,2088.3062
33.0,2831.2888,3784.0764,2088.3062
34.0,2839.7734,3885.513,2088.3062
35.0,2832.268,3714.3904,2088.3062
36.0,2843.1895,3642.2861,2088.3062
37.0,2855.982,3765.656,2088.3062
38.0,2850.292,3441.16,2088.3062
39.0,2835.0957,3533.1445,2088.3062
40.0,2833.4478,3821.0513,2088.3062
41.0,2825.1748,4076.0913,2088.3062
42.0,2831.7354,3891.7327,2088.3062
43.0,2847.61,3475.1072,2088.3062
44.0,2833.3735,3371.1387,2088.3062
45.0,2813.071,3371.1387,2088.3062
46.0,2802.3938,3329.7346,2088.3062
47.0,2803.9272,3387.5818,2088.3062
48.0,2796.8792,3538.6736,2088.3062
49.0,2809.041,3435.1228,2088.3062
