+---------------------------------------------+
PARAMETROS UTILIZADOS: 
Substituição: imediata 
Taxa de Crossover: 0.7
Taxa de Mutação: 0.7
Quantidade de Gerações: 100
Tamanho da População: 50
Taxa de elitismo: 10
Quantidade de veiculos: 7
Quantidade de paradas: 63
Corrigindo infactibilidades: false
+---------------------------------------------+
Geração, Fitness Médio, Fitness Máximo, Fitness Minimo
0.0,7038.049,7672.0654,6147.373
1.0,7028.642,7825.588,6147.373
2.0,7019.993,7884.474,6147.373
3.0,7018.175,7888.9067,6147.373
4.0,7027.805,7888.9067,6147.373
5.0,7002.806,7851.8325,6147.373
6.0,6999.681,7851.8325,6147.373
7.0,6990.767,8290.74,6092.3926
8.0,6971.615,8071.988,6092.3926
9.0,6990.071,8067.672,6092.3926
10.0,6973.0977,8036.2017,6034.8955
11.0,6969.5684,7858.7334,6034.8955
12.0,6934.7886,8083.4067,6034.8955
13.0,6923.291,7936.0,6034.8955
14.0,6923.748,8051.6045,6034.8955
15.0,6902.853,8004.417,6034.8955
16.0,6914.9937,7970.5303,6034.8955
17.0,6898.377,8054.0522,6034.8955
18.0,6909.351,8170.2803,6034.8955
19.0,6930.895,8209.78,6034.8955
20.0,6920.207,8395.014,5945.1274
21.0,6938.975,8238.13,5945.1274
22.0,6944.681,8097.7295,5945.1274
23.0,6957.469,8074.9526,5945.1274
24.0,6941.4756,8017.1655,5945.1274
25.0,6941.9624,8017.1655,5945.1274
26.0,6934.688,8017.1655,5945.1274
27.0,6897.737,8017.1655,5945.1274
28.0,6908.3833,8026.2305,5945.1274
29.0,6902.5737,7798.8926,5945.1274
30.0,6896.524,8009.6704,5945.1274
31.0,6873.1445,7905.88,5945.1274
32.0,6846.6875,7892.743,5945.1274
33.0,6840.545,7841.102,5945.1274
34.0,6812.304,7841.102,5945.1274
35.0,6802.957,7680.783,5945.1274
36.0,6803.45,7680.783,5945.1274
37.0,6788.6074,7683.696,5945.1274
38.0,6807.0215,7973.4375,5945.1274
39.0,6810.491,7973.4375,5945.1274
40.0,6797.067,7933.082,5945.1274
41.0,6790.734,8012.6777,5945.1274
42.0,6765.6445,7841.6177,5945.1274
43.0,6764.9683,8211.59,5945.1274
44.0,6776.8125,8138.3105,5945.1274
45.0,6789.0293,8138.3105,5945.1274
46.0,6778.7515,8138.3105,5945.1274
47.0,6770.7676,8038.1587,5945.1274
48.0,6766.8267,8056.019,5937.2417
49.0,6785.986,7959.369,5937.2417
50.0,6764.9526,7959.369,5937.2417
51.0,6768.384,7821.088,5937.2417
52.0,6739.4863,8583.237,5937.2417
53.0,6743.524,8508.209,5937.2417
54.0,6742.4004,8688.534,5937.2417
55.0,6733.871,8323.579,5937.2417
56.0,6729.6274,8222.167,5937.2417
57.0,6734.465,8222.167,5937.2417
58.0,6752.091,8397.013,5937.2417
59.0,6765.5796,8397.013,5858.671
60.0,6766.498,8706.857,5858.671
61.0,6774.089,8494.011,5858.671
62.0,6767.8477,8398.687,5858.671
63.0,6759.2515,8398.687,5858.671
64.0,6776.038,8364.197,5858.671
65.0,6791.794,8156.604,5858.671
66.0,6779.2456,8133.1816,5858.671
67.0,6783.641,8133.1816,5858.671
68.0,6809.449,8315.151,5858.671
69.0,6799.0596,8062.393,5819.226
70.0,6786.6333,8415.872,5819.226
71.0,6776.326,8415.872,5819.226
72.0,6780.733,8415.872,5819.226
73.0,6785.2183,8415.872,5819.226
74.0,6771.0986,8498.34,5819.226
75.0,6784.622,8353.236,5819.226
76.0,6770.321,8417.056,5819.226
77.0,6783.6973,8537.681,5819.226
78.0,6773.4556,8549.413,5819.226
79.0,6754.7114,8146.9077,5819.226
80.0,6751.1655,8146.9077,5819.226
81.0,6765.2705,8660.03,5819.226
82.0,6761.4155,8864.846,5819.226
83.0,6755.5596,8864.846,5819.226
84.0,6752.091,8811.838,5819.226
85.0,6743.203,8609.148,5819.226
86.0,6732.9673,8609.148,5762.963
87.0,6727.811,8632.456,5534.085
88.0,6720.86,8722.781,5534.085
89.0,6713.924,8688.626,5534.085
90.0,6712.058,8688.626,5534.085
91.0,6713.4,8688.626,5534.085
92.0,6708.759,8688.626,5534.085
93.0,6710.956,8688.626,5534.085
94.0,6724.3535,8688.626,5534.085
95.0,6726.8623,8874.395,5534.085
96.0,6724.337,8791.53,5534.085
97.0,6711.5713,8681.222,5534.085
98.0,6729.51,8257.91,5534.085
99.0,6736.806,8361.643,5534.085
