+---------------------------------------------+
PARAMETROS UTILIZADOS: 
Substituição: imediata 
Taxa de Crossover: 0.7
Taxa de Mutação: 0.7
Quantidade de Gerações: 50
Tamanho da População: 50
Taxa de elitismo: 10
Quantidade de veiculos: 7
Quantidade de paradas: 31
Corrigindo infactibilidades: true
+---------------------------------------------+
Geração, Fitness Médio, Fitness Máximo, Fitness Minimo
0.0,2148.0574,2511.5984,1771.2673
1.0,2140.203,2533.173,1771.2673
2.0,2149.0315,2545.4207,1635.3087
3.0,2107.9126,2720.046,1635.3087
4.0,2111.603,2617.1982,1635.3087
5.0,2101.282,2538.1843,1635.3087
6.0,2086.6096,2559.435,1635.3087
7.0,2058.6838,2759.814,1516.0808
8.0,2087.0718,2677.2036,1516.0808
9.0,2067.4622,2726.2834,1516.0808
10.0,2054.0742,2794.5935,1516.0808
11.0,2068.8167,2611.6387,1516.0808
12.0,2075.6948,2704.6628,1516.0808
13.0,2080.2607,2789.7947,1516.0808
14.0,2067.0789,2756.5688,1516.0808
15.0,2071.0845,2879.5117,1516.0808
16.0,2057.1494,2856.3157,1516.0808
17.0,2039.4486,2801.8691,1516.0808
18.0,2016.4502,2743.212,1515.6504
19.0,2034.578,2802.298,1515.6504
20.0,2047.5743,2554.48,1515.6504
21.0,2035.568,2625.657,1515.6504
22.0,2026.5234,2642.9167,1515.6504
23.0,2028.0686,2627.7341,1515.6504
24.0,1993.2842,2544.96,1484.9019
25.0,1980.9122,2587.1528,1484.331
26.0,1990.279,2680.552,1484.331
27.0,2016.9598,2738.5925,1484.331
28.0,2040.5249,2729.4426,1484.331
29.0,2028.9578,2862.4133,1484.331
30.0,2022.8322,2846.8516,1484.331
31.0,2026.3857,2566.6218,1484.331
32.0,2012.7197,2453.1565,1484.331
33.0,2012.8732,2523.4373,1484.331
34.0,2010.0978,2710.1323,1484.331
35.0,2021.4264,2643.4468,1484.331
36.0,2017.1829,2595.1953,1484.331
37.0,2007.7915,2540.7236,1484.331
38.0,2007.0189,2665.0913,1484.331
39.0,2010.9589,2733.8035,1484.331
40.0,1964.3118,2557.531,1484.331
41.0,1975.3582,2640.5283,1484.331
42.0,1991.945,2779.3481,1484.331
43.0,2000.6843,2994.4148,1484.331
44.0,1989.6808,2600.1978,1484.331
45.0,1970.0166,2874.6804,1484.331
46.0,1961.765,2810.0825,1484.331
47.0,1987.2014,2666.847,1484.331
48.0,1984.9215,2499.546,1484.331
49.0,1981.7181,2649.0718,1484.331
