+---------------------------------------------+
PARAMETROS UTILIZADOS: 
Substituição: imediata 
Taxa de Crossover: 0.7
Taxa de Mutação: 0.7
Quantidade de Gerações: 50
Tamanho da População: 50
Taxa de elitismo: 10
Quantidade de veiculos: 7
Quantidade de paradas: 31
Corrigindo infactibilidades: true
+---------------------------------------------+
Geração, Fitness Médio, Fitness Máximo, Fitness Minimo
0.0,2110.7124,2613.5667,1619.4976
1.0,2085.8904,2569.9248,1619.4976
2.0,2061.2944,2619.9731,1619.4976
3.0,2057.2236,2709.7043,1602.9025
4.0,2040.2668,2713.2007,1602.9025
5.0,2043.369,2625.0737,1602.9025
6.0,2040.1864,2537.272,1486.5868
7.0,2035.8054,2534.623,1486.5868
8.0,2014.5121,2613.8408,1486.5868
9.0,2026.4899,2649.966,1486.5868
10.0,2042.44,2670.3801,1486.5868
11.0,2062.536,2559.4414,1486.5868
12.0,2071.7266,2546.7573,1486.5868
13.0,2049.0608,2716.3677,1486.5868
14.0,2045.5925,2804.6443,1486.5868
15.0,2035.086,2810.302,1486.5868
16.0,2035.4604,2874.4634,1486.5868
17.0,2045.3193,2809.141,1457.7072
18.0,2051.6882,2812.034,1457.7072
19.0,2046.9358,2829.02,1457.7072
20.0,2048.6348,2706.719,1455.2816
21.0,2053.981,2682.0627,1455.2816
22.0,2052.8188,2901.4307,1455.2816
23.0,2066.1064,2773.8848,1455.2816
24.0,2029.3718,2637.3264,1455.2816
25.0,2037.357,2589.135,1455.2816
26.0,2025.2412,2530.2136,1455.2816
27.0,2026.9849,2582.622,1455.2816
28.0,2015.8944,2448.1519,1455.2816
29.0,1988.495,2713.3386,1415.5511
30.0,1978.5984,2639.104,1415.5511
31.0,1975.1605,2919.8442,1415.5511
32.0,1979.6514,2756.3628,1415.5511
33.0,1958.854,2614.5303,1415.5511
34.0,1965.7786,2635.0046,1415.5511
35.0,1972.4125,2662.2358,1415.5511
36.0,1949.076,2735.5642,1415.5511
37.0,1936.0502,2729.954,1415.5511
38.0,1947.3949,2631.4812,1415.5511
39.0,1965.552,2846.3584,1415.5511
40.0,1979.664,2701.8125,1415.5511
41.0,1938.3271,2741.9578,1415.5511
42.0,1936.0774,2648.7815,1205.7837
43.0,1954.5532,2840.1868,1205.7837
44.0,1974.2192,2886.5383,1205.7837
45.0,1970.1661,2693.4187,1205.7837
46.0,1953.5692,2583.4072,1205.7837
47.0,1938.7664,2731.6604,1205.7837
48.0,1947.0511,2668.425,1205.7837
49.0,1951.0956,2637.5723,1205.7837
