+---------------------------------------------+
PARAMETROS UTILIZADOS: 
Substituição: imediata 
Taxa de Crossover: 0.7
Taxa de Mutação: 0.7
Quantidade de Gerações: 50
Tamanho da População: 50
Taxa de elitismo: 10
Quantidade de veiculos: 7
Quantidade de paradas: 31
Corrigindo infactibilidades: false
+---------------------------------------------+
Geração, Fitness Médio, Fitness Máximo, Fitness Minimo
0.0,2136.321,2675.5679,1838.7046
1.0,2139.9648,2611.196,1838.7046
2.0,2149.6533,2667.263,1838.7046
3.0,2152.7236,2780.4187,1532.9331
4.0,2145.7383,2671.2258,1532.9331
5.0,2149.1035,2755.2717,1532.9331
6.0,2145.263,2807.6917,1532.9331
7.0,2138.9656,2861.2305,1532.9331
8.0,2132.0344,2853.8835,1532.9331
9.0,2116.2458,2768.0818,1532.9331
10.0,2104.4902,2768.0818,1532.9331
11.0,2108.7388,2772.354,1532.9331
12.0,2099.8323,2748.5474,1532.9331
13.0,2077.531,2657.1245,1532.9331
14.0,2074.9976,2662.3193,1532.9331
15.0,2065.8452,2719.3948,1445.3455
16.0,2057.1975,2779.3896,1445.3455
17.0,2075.3035,2747.7998,1445.3455
18.0,2082.9321,2692.9902,1445.3455
19.0,2073.4038,2828.7612,1445.3455
20.0,2077.5454,2799.1873,1445.3455
21.0,2077.641,2630.2415,1445.3455
22.0,2071.8904,2839.32,1445.3455
23.0,2071.247,2835.3887,1445.3455
24.0,2072.9138,2821.676,1445.3455
25.0,2058.2363,2717.2925,1445.3455
26.0,2057.3572,2726.001,1445.3455
27.0,2054.8164,2616.9644,1445.3455
28.0,2036.5469,2705.2295,1445.3455
29.0,2036.2936,2679.7898,1445.3455
30.0,2025.0283,2571.281,1445.3455
31.0,2012.7314,2648.8694,1445.3455
32.0,2019.9949,2667.9988,1445.3455
33.0,2013.083,2651.2908,1445.3455
34.0,2021.9648,2780.7173,1445.3455
35.0,2011.0448,2780.7173,1445.3455
36.0,2017.0928,2780.7173,1445.3455
37.0,2009.1416,2594.175,1445.3455
38.0,1990.7305,2601.5042,1445.3455
39.0,1975.9907,2771.1062,1445.3455
40.0,1970.8148,2483.1082,1418.0237
41.0,1965.4215,2599.4182,1418.0237
42.0,1972.8481,2757.7837,1418.0237
43.0,1972.7909,2757.7837,1418.0237
44.0,1957.8146,2757.7837,1418.0237
45.0,1966.4756,2797.3313,1418.0237
46.0,1957.396,2894.023,1418.0237
47.0,1966.4329,2768.3792,1418.0237
48.0,1970.779,2693.1785,1418.0237
49.0,1968.3354,2661.472,1418.0237
