+---------------------------------------------+
PARAMETROS UTILIZADOS: 
Substituição: imediata 
Taxa de Crossover: 0.7
Taxa de Mutação: 0.7
Quantidade de Gerações: 50
Tamanho da População: 50
Taxa de elitismo: 10
Quantidade de veiculos: 7
Quantidade de paradas: 40
Corrigindo infactibilidades: false
+---------------------------------------------+
Geração, Fitness Médio, Fitness Máximo, Fitness Minimo
0.0,2687.9866,3308.44,2128.0947
1.0,2703.2693,3308.44,2128.0947
2.0,2704.0132,3402.0823,2128.0947
3.0,2725.7878,3278.553,2128.0947
4.0,2729.5618,3375.016,2128.0947
5.0,2737.1924,3380.6646,2128.0947
6.0,2746.5837,3386.9304,2128.0947
7.0,2751.7102,3380.6646,2128.0947
8.0,2742.3223,3380.6646,2128.0947
9.0,2741.778,3519.6365,2128.0947
10.0,2739.4197,3672.1365,2128.0947
11.0,2728.2095,3595.0881,2128.0947
12.0,2723.997,3651.9158,2128.0947
13.0,2720.9978,3654.347,2128.0947
14.0,2693.4148,3654.347,2128.0947
15.0,2676.4343,3654.347,2128.0947
16.0,2664.5212,3466.1128,2128.0947
17.0,2669.752,3389.3735,2128.0947
18.0,2675.6885,3512.7979,2128.0947
19.0,2689.465,3570.979,2128.0947
20.0,2697.6672,3211.1343,2128.0947
21.0,2674.4639,3188.4521,2128.0947
22.0,2656.3093,3230.4424,2128.0947
23.0,2639.2207,3464.547,2128.0947
24.0,2631.2434,3480.566,2128.0947
25.0,2633.6123,3531.3652,2064.1572
26.0,2638.4666,3257.3455,1966.775
27.0,2631.8757,3276.825,1966.775
28.0,2616.2542,3276.825,1966.775
29.0,2612.3188,3298.6824,1966.775
30.0,2608.22,3287.1812,1966.775
31.0,2610.854,3495.8723,1966.775
32.0,2628.7744,3495.8723,1966.775
33.0,2623.6538,3361.793,1966.775
34.0,2621.7935,3361.793,1966.775
35.0,2598.843,3299.081,1966.775
36.0,2597.3125,3339.888,1966.775
37.0,2590.2285,3339.888,1966.775
38.0,2586.6545,3644.241,1966.775
39.0,2593.9026,3644.241,1966.775
40.0,2592.6565,3547.8408,1966.775
41.0,2596.224,3547.8408,1966.775
42.0,2595.8591,3535.1062,1966.775
43.0,2607.6265,3333.0764,1966.775
44.0,2602.9216,3322.042,1966.775
45.0,2584.0688,3409.7703,1966.775
46.0,2584.187,3493.1943,1966.775
47.0,2582.6196,3572.7424,1966.775
48.0,2582.4907,3572.7424,1966.775
49.0,2579.2961,3521.7383,1966.775
