+---------------------------------------------+
PARAMETROS UTILIZADOS: 
Substituição: imediata 
Taxa de Crossover: 0.7
Taxa de Mutação: 0.7
Quantidade de Gerações: 50
Tamanho da População: 50
Taxa de elitismo: 10
Quantidade de veiculos: 7
Quantidade de paradas: 40
Corrigindo infactibilidades: true
+---------------------------------------------+
Geração, Fitness Médio, Fitness Máximo, Fitness Minimo
0.0,2715.7627,3412.3684,2017.9552
1.0,2709.9326,3348.232,2017.9552
2.0,2704.2754,3418.7043,2017.9552
3.0,2708.3994,3292.325,2017.9552
4.0,2704.9812,3495.146,2017.9552
5.0,2666.985,3473.3726,2017.9552
6.0,2665.5972,3591.4827,2017.9552
7.0,2691.2568,3561.887,2017.9552
8.0,2692.745,3538.7498,2017.9552
9.0,2690.3762,3430.9856,2017.9552
10.0,2692.815,3465.0337,2017.9552
11.0,2684.2124,3637.2805,2017.9552
12.0,2682.9678,3404.2834,2017.9552
13.0,2655.5232,3229.0786,2017.9552
14.0,2644.2554,3231.4658,2017.9552
15.0,2673.6711,3269.0525,2017.9552
16.0,2656.7097,3338.9177,2017.9552
17.0,2634.7432,3323.1912,2017.9552
18.0,2614.6924,3310.01,2017.9552
19.0,2587.1064,3550.292,2017.9552
20.0,2590.8245,3224.574,2017.9552
21.0,2568.7117,3337.2021,1910.687
22.0,2582.5056,3370.0806,1910.687
23.0,2580.8005,3410.6975,1910.687
24.0,2586.238,3328.9285,1910.687
25.0,2582.0142,3613.7659,1910.687
26.0,2581.7712,3733.9685,1910.687
27.0,2594.6333,3655.5125,1910.687
28.0,2621.1,3517.8613,1910.687
29.0,2612.6929,3238.5703,1910.687
30.0,2618.5916,3244.9233,1910.687
31.0,2597.9836,3372.0344,1910.687
32.0,2600.2063,3485.513,1910.687
33.0,2582.4883,3461.3398,1910.687
34.0,2566.532,3224.11,1741.3046
35.0,2560.3203,3234.6882,1741.3046
36.0,2564.476,3195.6663,1741.3046
37.0,2558.8694,3386.2485,1741.3046
38.0,2546.2222,3123.383,1741.3046
39.0,2556.0186,3197.3132,1741.3046
40.0,2526.5115,3269.1902,1741.3046
41.0,2539.2837,3276.6587,1741.3046
42.0,2527.1458,3191.16,1741.3046
43.0,2516.4072,3263.3267,1741.3046
44.0,2493.0789,3171.3655,1741.3046
45.0,2506.8484,3212.0232,1741.3046
46.0,2529.3455,3139.425,1741.3046
47.0,2502.2727,3145.032,1741.3046
48.0,2499.1477,3107.2537,1741.3046
49.0,2503.861,3208.469,1741.3046
