+---------------------------------------------+
PARAMETROS UTILIZADOS: 
Substituição: imediata 
Taxa de Crossover: 0.7
Taxa de Mutação: 0.7
Quantidade de Gerações: 50
Tamanho da População: 50
Taxa de elitismo: 10
Quantidade de veiculos: 7
Quantidade de paradas: 63
Corrigindo infactibilidades: true
+---------------------------------------------+
Geração, Fitness Médio, Fitness Máximo, Fitness Minimo
0.0,6985.232,7889.0464,6293.8154
1.0,7032.6406,7868.488,6293.8154
2.0,7026.0566,7686.6157,6293.8154
3.0,6966.1133,7867.1426,6293.8154
4.0,6922.971,8152.253,6260.7583
5.0,6934.045,8037.952,6073.4165
6.0,6910.7896,8065.5044,6073.4165
7.0,6900.0317,8225.261,5704.279
8.0,6891.3184,8209.719,5704.279
9.0,6872.8955,8395.197,5704.279
10.0,6853.683,8235.018,5704.279
11.0,6833.871,7956.784,5704.279
12.0,6862.0337,8081.9116,5704.279
13.0,6859.899,8113.817,5704.279
14.0,6869.28,8107.5083,5704.279
15.0,6830.5664,8583.303,5704.279
16.0,6884.8066,8584.242,5704.279
17.0,6880.9023,8085.4375,5704.279
18.0,6861.949,8189.475,5704.279
19.0,6862.9614,8137.879,5704.279
20.0,6859.692,8047.5605,5704.279
21.0,6849.2026,7774.5166,5704.279
22.0,6854.916,7791.814,5704.279
23.0,6809.9927,7963.132,5704.279
24.0,6830.2393,7943.86,5704.279
25.0,6808.7183,7852.05,5704.279
26.0,6745.0776,7888.0713,5704.279
27.0,6739.761,7958.534,5704.279
28.0,6763.0073,8105.6235,5704.279
29.0,6765.9233,8174.3345,5704.279
30.0,6776.8955,7980.7183,5704.279
31.0,6741.5806,8013.3657,5704.279
32.0,6763.668,8315.521,5704.279
33.0,6760.0386,8103.8516,5704.279
34.0,6756.7314,8101.3765,5704.279
35.0,6722.2764,8150.7524,5072.6274
36.0,6702.5576,8155.1406,5072.6274
37.0,6707.0312,7824.7007,5072.6274
38.0,6687.665,7883.6772,5072.6274
39.0,6699.433,8408.306,5072.6274
40.0,6699.966,8324.362,5072.6274
41.0,6699.36,7969.4355,5072.6274
42.0,6696.3936,8086.0957,5072.6274
43.0,6660.405,8211.78,5072.6274
44.0,6624.116,8259.824,5072.6274
45.0,6638.425,8298.618,5072.6274
46.0,6651.259,7940.451,5072.6274
47.0,6695.0215,7960.7,5072.6274
48.0,6653.458,7614.7417,5072.6274
49.0,6628.858,7847.2104,5072.6274
