+---------------------------------------------+
PARAMETROS UTILIZADOS: 
Substituição: imediata 
Taxa de Crossover: 0.7
Taxa de Mutação: 0.7
Quantidade de Gerações: 50
Tamanho da População: 50
Taxa de elitismo: 10
Quantidade de veiculos: 7
Quantidade de paradas: 40
Corrigindo infactibilidades: true
+---------------------------------------------+
Geração, Fitness Médio, Fitness Máximo, Fitness Minimo
0.0,2705.7666,3205.0278,2235.6936
1.0,2720.2354,3183.2659,2235.6936
2.0,2710.9062,3346.4102,2235.6936
3.0,2694.1094,3343.3767,2200.274
4.0,2648.3274,3349.3198,2200.274
5.0,2643.7063,3438.0154,1692.6287
6.0,2638.5784,3375.8606,1692.6287
7.0,2646.0828,3374.7896,1692.6287
8.0,2617.1792,3339.646,1692.6287
9.0,2630.1257,3503.0146,1692.6287
10.0,2612.6743,3629.8904,1692.6287
11.0,2633.9675,3696.2673,1692.6287
12.0,2619.258,3417.6738,1692.6287
13.0,2622.3384,3403.4377,1692.6287
14.0,2644.4133,3349.8071,1692.6287
15.0,2653.4014,3528.2712,1692.6287
16.0,2663.0068,3256.1243,1692.6287
17.0,2640.4941,3280.5557,1692.6287
18.0,2626.6804,3574.5547,1692.6287
19.0,2633.8032,3308.8972,1692.6287
20.0,2616.0093,3635.6846,1692.6287
21.0,2593.3594,3635.7708,1692.6287
22.0,2595.7014,3550.1584,1692.6287
23.0,2597.8567,3692.309,1692.6287
24.0,2601.6387,3527.4568,1692.6287
25.0,2616.5605,3390.939,1692.6287
26.0,2609.6055,3375.7,1692.6287
27.0,2596.9775,3493.4783,1692.6287
28.0,2588.3936,3713.2332,1692.6287
29.0,2606.392,3647.87,1692.6287
30.0,2627.5,3318.524,1692.6287
31.0,2587.05,3250.555,1692.6287
32.0,2555.2524,3440.0942,1692.6287
33.0,2567.6448,3341.0205,1692.6287
34.0,2584.1777,3198.6145,1692.6287
35.0,2561.722,3225.5603,1692.6287
36.0,2569.712,3423.4673,1692.6287
37.0,2607.522,3461.686,1692.6287
38.0,2627.558,3529.7012,1692.6287
39.0,2605.157,3198.4033,1692.6287
40.0,2615.9385,3190.4268,1692.6287
41.0,2589.694,3364.777,1692.6287
42.0,2602.8281,3491.2605,1692.6287
43.0,2589.6184,3351.7742,1692.6287
44.0,2580.0562,3222.013,1692.6287
45.0,2608.4724,3543.9749,1692.6287
46.0,2615.7124,3799.2092,1692.6287
47.0,2619.9124,3738.1023,1692.6287
48.0,2636.1846,3651.9138,1692.6287
49.0,2622.5737,3904.2117,1692.6287
