+---------------------------------------------+
PARAMETROS UTILIZADOS: 
Substituição: imediata 
Taxa de Crossover: 0.7
Taxa de Mutação: 0.7
Quantidade de Gerações: 100
Tamanho da População: 50
Taxa de elitismo: 0
Quantidade de veiculos: 7
Quantidade de paradas: 32
Corrigindo infactibilidades: false
+---------------------------------------------+
Geração, Fitness Médio, Fitness Máximo, Fitness Minimo
0.0,3045.8992,3732.1729,2373.9307
1.0,3011.3171,3640.4712,2060.2048
2.0,3019.1357,3672.9841,2129.3628
3.0,3034.0513,3672.9841,2125.5388
4.0,3008.8743,3603.5273,2113.169
5.0,3022.01,3634.8894,2113.169
6.0,3006.1204,3618.7168,2113.169
7.0,3005.0288,3673.2483,2121.9316
8.0,2982.5725,3656.5251,2121.9316
9.0,2975.6514,3612.2522,2187.126
10.0,2992.9878,3666.5583,2197.939
11.0,2990.6064,3666.5583,2382.6917
12.0,2981.6262,3666.5583,2263.1545
13.0,2996.7173,3783.1013,2237.8647
14.0,2997.1086,3783.1013,2237.8647
15.0,2982.6638,3910.843,2161.2383
16.0,3007.2095,3869.9873,2161.2383
17.0,3000.1096,3568.2798,2161.2383
18.0,3015.2793,3614.3306,2161.2383
19.0,3017.4907,3747.5603,2191.7178
20.0,3009.287,3664.2954,2345.3232
21.0,3030.574,3665.3445,2481.6187
22.0,3020.4846,3665.3445,2172.6826
23.0,3013.7412,3655.4055,2145.6152
24.0,3011.3381,3811.1052,2145.6152
25.0,3001.0432,3776.4556,2160.0076
26.0,2981.2625,4175.972,2142.548
27.0,2977.3323,4175.972,2142.548
28.0,2985.261,3966.3252,2174.2036
29.0,2987.1304,3966.3252,2161.944
30.0,2978.488,4193.9995,2161.944
31.0,2983.3528,3846.0254,2197.7285
32.0,2982.14,3700.6091,2133.3518
33.0,2977.036,3765.7773,2323.2214
34.0,2979.319,3798.534,2323.2214
35.0,2966.6907,3790.6187,2318.3672
36.0,2983.8606,3790.6187,2318.3672
37.0,2969.1753,3767.7622,2269.2288
38.0,2953.2793,3767.7622,2246.9695
39.0,2939.005,3767.7622,2325.1895
40.0,2952.3872,3485.3398,2325.1895
41.0,2953.6924,3593.8796,2325.1895
42.0,2954.455,3601.9377,2263.4832
43.0,2971.0522,3853.726,2252.969
44.0,2976.9778,3752.5918,2252.969
45.0,2984.3022,3780.647,2241.1118
46.0,2980.4226,3780.647,2241.1118
47.0,2985.9753,3596.5369,2241.1118
48.0,2979.2747,3596.5369,2371.3523
49.0,2964.0342,3596.5369,2371.3523
50.0,2960.032,3528.4087,2364.0925
51.0,2941.4607,3570.222,2320.367
52.0,2967.1416,3668.324,2293.3435
53.0,2956.2366,3676.7473,2355.4028
54.0,2950.1196,3911.433,2266.1123
55.0,2959.3809,3712.7336,2270.8591
56.0,2945.225,3672.124,2225.2307
57.0,2931.6633,3685.554,2225.2307
58.0,2923.4465,3782.2476,2148.215
59.0,2931.615,3478.2007,2148.215
60.0,2912.7812,3663.4229,2245.2263
61.0,2915.3179,3694.437,2305.2246
62.0,2937.3137,3569.1082,2464.916
63.0,2929.6226,3692.264,2380.7805
64.0,2926.1572,3603.2258,2272.477
65.0,2918.3203,3594.1875,2313.2712
66.0,2914.7686,3624.5366,2313.2712
67.0,2918.8193,3608.6743,2313.2712
68.0,2926.529,3608.6743,2310.0525
69.0,2936.7935,3772.9998,2444.5623
70.0,2938.026,3465.7683,2197.0034
71.0,2919.0127,3468.3591,2221.4246
72.0,2926.042,3644.5496,2393.739
73.0,2921.584,3644.5496,2324.181
74.0,2934.9634,3727.1855,2324.181
75.0,2924.969,3897.675,2322.8894
76.0,2927.4778,3812.9705,2220.641
77.0,2930.9988,3699.6394,2275.9998
78.0,2928.7932,3627.9219,2216.7422
79.0,2907.086,3627.9219,2216.7422
80.0,2916.5974,3749.354,2305.203
81.0,2906.6274,3698.4958,2305.203
82.0,2911.4355,3804.3398,1844.0138
83.0,2917.4163,3649.6155,1844.0138
84.0,2918.5354,3610.477,1844.0138
85.0,2883.3223,3480.5305,2261.8809
86.0,2869.193,3754.3262,2261.8809
87.0,2855.944,3754.3262,2147.5962
88.0,2850.436,3574.57,2224.9448
89.0,2871.3472,3618.1416,2224.9448
90.0,2893.215,3503.6973,2224.9448
91.0,2899.3096,3503.6973,2237.4456
92.0,2894.725,3527.0964,2037.5409
93.0,2903.9966,3506.8936,2211.646
94.0,2910.904,3531.4336,2211.646
95.0,2914.3193,3533.274,2211.646
96.0,2926.7356,3575.937,2270.1467
97.0,2931.8228,3523.5693,2284.6924
98.0,2943.219,3628.8496,2430.8088
99.0,2960.904,3506.8037,2298.5593
